"spend","sales"
73.6,220.5
98,266.6
39.4,207.2
85.4,273.5
8.4,98.6
61.2,245
54.4,226.6
18.4,111.9
83,291.2
77.7,281.1
77.5,278
11.8,151.9
11.4,97.9
24.4,178.9
27.5,137.3
79,259.7
23,150.1
3.6,75.7
93.5,295.1
94.6,268.3
97.6,279.2
55.2,214
83,236.3
8,62.9
25.6,143.3
75.1,308.6
85.2,279.2
73.5,296
65.5,213.7
43.6,216.2
70.7,243.7
93.8,308.3
96.7,307.6
13.2,54.9
90.2,315.9
87.9,281.8
56.6,236.3
87.8,282.2
74.5,262.4
58,238.4
90.8,306.5
9.2,70.4
88.8,204.8
3.7,59.1
56.6,226.1
33.9,165.6
64.8,223.6
79.4,247.9
81.9,295.8
77.3,274.4
93.5,274.1
85.4,254.1
26.5,133.9
99,314.2
73.8,231.4
36.9,161
76.1,277.7
94.1,329.7
24,137.8
70.3,260.8
21.2,196.7
63.6,301.1
84.8,308.1
82.5,304.2
36.2,142.9
23.4,176.7
15.7,136.6
33.4,136.2
94.6,295.6
1.4,16.1
43.8,237.6
90.1,271
33.7,202.3
34.4,137.5
63.3,227.2
78.8,256.1
37.1,145.5
92.9,290.4
9.1,90.2
6.3,96.9
16.8,138.7
51,222.1
78.2,240.1
7,43.8
11.5,114.4
41.7,202.6
18,119.6
74.9,248.6
99,285.6
13.7,123
30.1,189.4
77.2,281.4
55.6,216.7
59.9,258.9
13,115
62.5,236
20.6,162.8
72.8,224.6
84,320.8
92.1,298.8
34.6,170
42.7,231.8
58.3,231.8
89.5,278.9
44,179
76.4,244.1
20.9,174.4
27.2,152.3
80.7,223.9
86.3,271.9
69.6,248.9
52,173.4
5.8,69.1
46.3,214.9
29.7,183.8
83.7,273.6
47.6,178.1
52.5,177
45.8,203.5
20.3,157.4
79.6,236.1
68.1,236.3
14.5,115.1
93.9,299.6
16,135.3
85.3,230.6
18.6,129.1
48.1,214.9
61.9,210.8
58.8,259.8
77.9,296.7
44.9,224.6
53.6,184.5
79.2,257.3
51.7,205.2
96.4,303.6
1.6,49.2
69.8,287.8
87.8,339.3
95.9,326.6
16.8,128.3
54.4,211
65.9,219.4
73.2,242.6
99.1,322
31.5,171.7
36.5,144.4
62.7,224.8
57.2,225.4
39.3,193
69.4,218.7
62.2,268.2
91.4,316.3
68.8,230.8
77.7,252.9
41.9,190.3
64.7,239.9
62.9,229.6
2.2,4
42.1,220.4
82.1,315.9
41.8,227.2
68,260.6
16.3,100.1
47.1,184.6
87.1,317.1
38.5,197.8
99.6,305.2
39.2,162
63.4,229.7
98.1,299.3
54.1,186.9
61.7,199.8
57.2,222.7
84.5,285.1
36.8,135.2
60.6,198.6
8.2,105
84,264.9
77.5,278.5
59.9,223.2
29.6,154.3
39.4,180.2
62.7,218.6
21.4,118.9
17.5,101.9
70,231.8
85,250
18.6,94.8
65.8,231
49.1,202.2
3.5,51.7
11.1,64.9
98.3,298.7
50.1,210.4
48.5,219.8
71.7,219.4
83.2,265.6
67.5,230.2
37.2,196.1
