"cohort_month","cohort","months_since","retained_pct"
1,"Jan 2025",0,100
1,"Jan 2025",1,75
1,"Jan 2025",2,51
1,"Jan 2025",3,39
1,"Jan 2025",4,27
1,"Jan 2025",5,20
1,"Jan 2025",6,15
1,"Jan 2025",7,9
1,"Jan 2025",8,7
1,"Jan 2025",9,6
1,"Jan 2025",10,5
1,"Jan 2025",11,4
2,"Feb 2025",0,99
2,"Feb 2025",1,83
2,"Feb 2025",2,69
2,"Feb 2025",3,58
2,"Feb 2025",4,50
2,"Feb 2025",5,42
2,"Feb 2025",6,35
2,"Feb 2025",7,29
2,"Feb 2025",8,27
2,"Feb 2025",9,24
2,"Feb 2025",10,18
3,"Mar 2025",0,99
3,"Mar 2025",1,71
3,"Mar 2025",2,54
3,"Mar 2025",3,40
3,"Mar 2025",4,27
3,"Mar 2025",5,22
3,"Mar 2025",6,12
3,"Mar 2025",7,11
3,"Mar 2025",8,11
3,"Mar 2025",9,4
4,"Apr 2025",0,100
4,"Apr 2025",1,81
4,"Apr 2025",2,71
4,"Apr 2025",3,63
4,"Apr 2025",4,56
4,"Apr 2025",5,46
4,"Apr 2025",6,41
4,"Apr 2025",7,35
4,"Apr 2025",8,29
5,"May 2025",0,100
5,"May 2025",1,78
5,"May 2025",2,60
5,"May 2025",3,42
5,"May 2025",4,34
5,"May 2025",5,25
5,"May 2025",6,22
5,"May 2025",7,12
6,"Jun 2025",0,100
6,"Jun 2025",1,76
6,"Jun 2025",2,53
6,"Jun 2025",3,35
6,"Jun 2025",4,26
6,"Jun 2025",5,18
6,"Jun 2025",6,13
7,"Jul 2025",0,98
7,"Jul 2025",1,87
7,"Jul 2025",2,71
7,"Jul 2025",3,61
7,"Jul 2025",4,54
7,"Jul 2025",5,44
8,"Aug 2025",0,100
8,"Aug 2025",1,80
8,"Aug 2025",2,58
8,"Aug 2025",3,47
8,"Aug 2025",4,33
9,"Sep 2025",0,100
9,"Sep 2025",1,82
9,"Sep 2025",2,65
9,"Sep 2025",3,56
10,"Oct 2025",0,100
10,"Oct 2025",1,75
10,"Oct 2025",2,59
11,"Nov 2025",0,98
11,"Nov 2025",1,85
12,"Dec 2025",0,99
