listing_id,price,bathrooms,bedrooms,cancellation_policy,guests_included,property_type,zipcode,star_rating,reviews_count,city,room_type
147,238,1,2,strict,4,House,90291,5,79,Los Angeles,Entire home
1078,89,1,1,flexible,2,Apartment,78705,5,117,Austin,Entire home
2055,89,1,1,moderate,1,House,33145,5,91,Miami,Private room
2265,175,2,2,strict,2,House,78702,4.5,15,Austin,Entire home
3021,120,1,1,strict,2,House,90046,4.5,4,Los Angeles,Entire home
3319,119,1,1,strict,1,Apartment,90048,5,298,Los Angeles,Entire home
3781,84,1,1,super_strict_30,2,Apartment,02128,5,6,Boston,Entire home
5245,100,1,1,strict,2,House,78702,5,6,Austin,Private room
5426,60,1,1,strict,2,House,91364,4.5,81,Los Angeles,Entire home
5427,85,1,1,strict,2,Apartment,91364,4,43,Los Angeles,Entire home
5453,150,1,1,flexible,1,Apartment,02130,5,53,Boston,Private room
5456,95,1,1,strict,2,Apartment,78702,5,328,Austin,Entire home
5506,145,1,1,strict,2,House,02119,4.5,34,Boston,Private room
5728,55,1,1,moderate,1,Cabin,90066,4.5,66,Los Angeles,Private room
5729,125,1,1,flexible,2,House,90066,5,26,Los Angeles,Private room
5769,36,1,1,moderate,2,House,78729,5,184,Austin,Private room
5843,303,1,2,moderate,2,House,90066,4.5,24,Los Angeles,Entire home
6251,130,1.5,1,strict,1,Loft,78702,5,113,Austin,Entire home
6413,115,1,,strict,2,Apartment,78704,5,28,Austin,Entire home
6448,109,1,1,strict,2,Apartment,78704,5,91,Austin,Entire home
6656,75,1,0,strict,1,Villa,90027,5,81,Los Angeles,Entire home
6695,195,1,1,strict,2,Apartment,02119,5,45,Boston,Entire home
6789,160,1,2,strict,3,Apartment,90291,4.5,43,Los Angeles,Entire home
6931,59,1.5,1,strict,1,Apartment,90046,4.5,9,Los Angeles,Private room
6976,75,1,1,moderate,1,Apartment,02131,5,34,Boston,Private room
6986,99,1,0,strict,1,Villa,90027,5,67,Los Angeles,Entire home
7143,70,1,1,strict,2,Apartment,90034-2203,4.5,91,Los Angeles,Entire home
7474,115,1,1,strict,1,House,33138,5,20,Miami,Private room
7679,65,1,1,flexible,2,House,78753,5,78,Austin,Private room
7992,89,1,1,moderate,2,Bungalow,90039,5,17,Los Angeles,Entire home
8223,85,1,0,moderate,1,Apartment,91604,4.5,6,Los Angeles,Entire home
8235,125,1,1,moderate,1,Loft,90021,4.5,101,Los Angeles,Entire home
8502,40,1,,strict,2,Apartment,78741,4.5,33,Austin,Entire home
8789,100,1,1,strict,1,Apartment,02108,4.5,12,Boston,Entire home
8792,126,1,1,moderate,0,Apartment,02108,4.5,18,Boston,Entire home
8865,100,1,1,flexible,1,Apartment,02120,3.5,12,Boston,Private room
9273,225,2,2,super_strict_30,4,Apartment,02128,5,11,Boston,Entire home
9376,85,1,1,moderate,1,Apartment,90291,4.5,19,Los Angeles,Private room
9416,55,1.5,1,strict,1,House,90066,4.5,8,Los Angeles,Private room
9744,149,1,,super_strict,1,Apartment,02116,5,3,Boston,Entire home
9765,229,1,,super_strict_30,1,Apartment,02118,4.5,9,Boston,Entire home
9824,209,1,,super_strict_30,1,Apartment,02115,4,21,Boston,Entire home
9827,289,1,1,super_strict_30,2,Apartment,02111,4.5,8,Boston,Entire home
9857,342,1,2,super_strict_30,6,Apartment,02116,4.5,18,Boston,Entire home
9860,251,1,1,super_strict_30,1,Apartment,02116,4,21,Boston,Entire home
9870,279,1,1,super_strict_30,1,Apartment,02116,4,6,Boston,Entire home
10506,40,1.5,1,strict,1,House,78745,5,8,Austin,Private room
10730,150,1,1,strict,0,Apartment,02108,5,21,Boston,Entire home
10760,74,2,1,flexible,1,Apartment,90019,5,43,Los Angeles,Private room
10809,100,0,1,flexible,1,Apartment,02134,3.5,9,Boston,Private room
11285,99,2,1,strict,1,House,90046,5,113,Los Angeles,Private room
11374,80,1,1,flexible,2,Other,90247,4.5,7,Los Angeles,Private room
11511,175,1,1,strict,2,Apartment,90068,5,8,Los Angeles,Entire home
11540,78,1,1,strict,2,Apartment,90036,4.5,8,Los Angeles,Entire home
12174,650,2,2,strict,4,House,78704,5,3,Austin,Entire home
12356,200,1,1,strict,0,Apartment,02108,5,4,Boston,Entire home
