consumer,age,gender,prevents_cavities,shiny_teeth,strengthens_gums,freshens_breath,decay_prevention_unimportant,attractive_teeth
1,50,Female,7,3,6,4,2,4
2,27,Female,1,3,2,4,5,4
3,24,Female,6,2,7,4,1,3
4,21,Female,4,5,4,6,2,5
5,34,Female,1,2,2,3,6,2
6,39,Female,6,3,6,4,2,4
7,50,Female,5,3,6,3,4,3
8,54,Female,6,4,7,4,1,4
9,32,Male,3,4,2,3,6,3
10,24,Female,2,6,2,6,7,6
11,40,Female,6,4,7,3,2,3
12,23,Male,2,3,1,4,5,4
13,41,Female,7,2,6,4,1,3
14,25,Female,4,6,4,5,3,6
15,40,Male,1,3,2,2,6,4
16,39,Female,6,4,6,3,3,4
17,40,Male,5,3,6,3,3,4
18,39,Male,7,3,7,4,1,4
19,50,Male,2,4,3,3,6,3
20,26,Female,3,5,3,6,4,6
21,40,Male,1,3,2,3,5,3
22,38,Male,5,4,5,4,2,4
23,37,Male,2,2,1,5,4,4
24,31,Female,4,6,4,6,4,7
25,36,Male,6,5,4,2,1,4
26,40,Female,3,5,4,6,4,7
27,40,Male,4,4,7,2,2,5
28,29,Female,3,7,2,6,4,3
29,40,Male,4,6,3,7,2,7
30,28,Male,2,3,2,4,7,2
31,50,Female,7,3,6,4,2,4
32,27,Female,1,3,2,4,5,4
33,24,Female,6,2,7,4,1,3
34,21,Female,4,5,4,6,2,5
35,34,Female,1,2,2,3,6,2
36,39,Female,6,3,6,4,2,4
37,50,Female,5,3,6,3,4,3
38,54,Female,6,4,7,4,1,4
39,32,Male,3,4,2,3,6,3
40,24,Female,2,6,2,6,7,6
41,40,Female,6,4,7,3,2,3
42,23,Male,2,3,1,4,5,4
43,41,Female,7,2,6,4,1,3
44,25,Female,4,6,4,5,3,6
45,40,Male,1,3,2,2,6,4
46,39,Female,6,4,6,3,3,4
47,40,Male,5,3,6,3,3,4
48,39,Male,7,3,7,4,1,4
49,50,Male,2,4,3,3,6,3
50,26,Female,3,5,3,6,4,6
51,40,Male,1,3,2,3,5,3
52,38,Male,5,4,5,4,2,4
53,37,Male,2,2,1,5,4,4
54,31,Female,4,6,4,6,4,7
55,36,Male,6,5,4,2,1,4
56,40,Female,3,5,4,6,4,7
57,40,Male,4,4,7,2,2,5
58,29,Female,3,7,2,6,4,3
59,40,Male,4,6,3,7,2,7
60,28,Male,2,3,2,4,7,2
