"click","device","ad_position","user_segment","pages_viewed","time_on_site","topic_match","past_ctr_hi"
0,"mobile","top","returning",6,67,0,0
1,"desktop","bottom","returning",7,146,0,1
0,"mobile","middle","new",4,82,0,0
0,"desktop","middle","returning",1,37,1,0
1,"desktop","top","returning",3,95,1,0
0,"mobile","top","returning",2,89,0,0
1,"mobile","top","new",4,36,1,0
0,"desktop","middle","new",4,26,1,0
0,"mobile","middle","new",7,67,0,0
1,"mobile","top","returning",2,47,1,0
0,"desktop","top","new",4,81,0,0
0,"mobile","bottom","new",4,69,0,0
1,"desktop","top","new",8,159,1,0
0,"mobile","bottom","returning",2,151,1,0
0,"mobile","middle","returning",2,88,0,1
0,"desktop","bottom","returning",7,48,1,0
1,"mobile","top","returning",5,32,1,0
0,"mobile","top","returning",4,51,0,0
0,"mobile","bottom","returning",4,36,0,1
0,"desktop","middle","new",1,102,0,0
0,"desktop","bottom","returning",6,48,0,1
0,"desktop","bottom","returning",5,76,0,0
1,"desktop","middle","new",7,91,1,1
1,"desktop","top","new",4,114,0,0
1,"desktop","middle","new",7,111,0,0
0,"desktop","top","returning",6,63,0,0
0,"mobile","top","returning",6,72,1,0
0,"mobile","middle","returning",1,52,0,0
1,"mobile","middle","returning",7,70,1,1
0,"mobile","middle","returning",7,30,0,1
0,"desktop","top","new",8,32,0,1
0,"desktop","middle","new",5,85,0,1
0,"desktop","middle","returning",3,69,1,0
0,"desktop","top","new",5,73,1,1
0,"mobile","top","returning",7,37,0,0
1,"mobile","bottom","returning",7,77,1,1
0,"desktop","middle","new",8,219,1,0
0,"mobile","top","returning",5,129,0,0
1,"mobile","middle","returning",8,51,1,0
0,"mobile","bottom","returning",3,42,1,0
0,"mobile","bottom","returning",1,141,0,1
0,"mobile","top","returning",5,75,1,0
0,"mobile","bottom","returning",5,51,0,0
0,"mobile","bottom","returning",2,29,1,0
0,"mobile","top","returning",5,53,1,0
0,"mobile","bottom","returning",3,39,1,0
0,"mobile","middle","returning",3,30,0,0
