"tenure_months","logins_last30","tickets_30d","email_engagement","price_increase_60d","plan_downgrade","region","churn"
17,11,0,0.36170369476591,0,1,"South",1
21,10,0,0.192503397951856,0,0,"East",0
43,5,1,0.011977912162205,0,0,"West",0
25,9,3,0.112925788648401,0,0,"East",0
26,25,0,0.0955627076563871,1,0,"North",0
45,12,1,0.173853068292679,0,0,"South",0
30,17,0,0.213181402329472,0,0,"South",0
9,11,1,0.527985309282738,0,0,"East",0
16,15,1,0.0791820489918697,0,0,"South",0
19,12,0,0.177810392624535,0,0,"West",0
39,19,0,0.159008816859702,1,0,"West",0
28,9,0,0.652162720789028,0,1,"East",1
29,3,0,0.0730512733059285,0,0,"West",1
25,16,0,0.068440919436045,1,0,"East",0
17,11,2,0.540661547905157,0,0,"South",0
45,19,2,0.292661048152756,0,0,"North",1
30,13,0,0.182178144709646,0,0,"North",0
1,19,1,0.161501584211767,0,0,"South",0
32,14,0,0.0145512050001448,0,0,"North",0
18,10,1,0.343673002033229,1,1,"West",0
11,16,1,0.257893960662646,0,1,"South",0
21,10,0,0.5588853367699,0,1,"West",0
12,20,0,0.199037185825923,0,0,"North",0
15,13,0,0.532083261790676,0,0,"West",0
16,2,0,0.339455476938748,0,0,"East",0
4,10,1,0.458946439743745,1,0,"East",0
34,4,1,0.0497026843286479,0,0,"West",0
26,1,0,0.527227439257241,0,0,"South",0
10,12,1,0.618985080427087,0,0,"North",0
39,15,1,0.274584959803649,0,0,"East",0
29,8,2,0.114328747940951,0,0,"East",1
20,5,0,0.25789742943587,0,0,"West",0
35,9,0,0.462570273855995,0,0,"South",0
35,4,1,0.49674620359139,0,0,"East",0
34,16,0,0.623619644141875,0,0,"North",0
32,15,1,0.272498848220751,0,1,"South",0
31,4,0,0.694546075698136,1,0,"West",0
23,9,0,0.152050500362081,0,1,"East",0
20,17,0,0.0122640099271297,0,0,"West",0
19,11,2,0.334187776817074,0,0,"West",0
16,12,2,0.278602771379887,1,0,"South",0
22,14,0,0.0906088100925805,0,1,"East",0
9,15,0,0.314381782443097,0,0,"South",0
50,18,1,0.0975871770724005,0,0,"West",0
38,16,0,0.145626802431262,0,0,"East",0
11,5,1,0.0058650848379198,1,0,"East",0
19,10,1,0.354735635501807,0,0,"North",0
18,14,2,0.202181385607707,0,0,"South",0
33,11,0,0.176120202611295,0,0,"South",0
23,1,1,0.312828650176116,0,0,"West",0
27,8,1,0.197964659973783,0,0,"North",0
24,17,1,0.189761782909074,0,0,"West",0
23,13,0,0.082499960894289,0,0,"East",0
40,5,0,0.503277723011281,0,0,"East",0
21,13,0,0.0942088595886287,0,0,"West",0
42,11,1,0.226521644393386,1,0,"South",0
5,15,1,0.437623826348367,0,0,"South",1
31,23,1,0.185140105246984,0,0,"West",0
25,4,0,0.294862517927321,0,0,"East",0
27,9,1,0.309950916689788,0,0,"East",0
29,11,0,0.709008387781477,0,0,"South",0
18,1,0,0.152524504812646,0,0,"East",0
20,12,0,0.46581846246489,1,0,"South",0
12,9,0,0.180496752946064,0,0,"East",0
11,23,2,0.233103854138812,0,0,"North",1
28,0,0,0.275763839061624,0,0,"East",0
29,19,0,0.352975222914632,0,0,"South",0
25,17,0,0.307815537802235,1,0,"North",0
35,16,1,0.198171928911769,0,0,"West",0
49,13,0,0.283154183403875,0,0,"South",0
18,8,1,0.339607419796292,0,1,"South",0
1,18,0,0.377711289255838,0,0,"West",0
36,8,0,0.0868905279030499,0,0,"South",0
15,15,0,0.24317250247678,0,0,"West",0
16,14,0,0.755113696134048,0,0,"South",0
36,17,2,0.18438826194129,0,0,"North",0
21,9,0,0.296333052019693,0,1,"East",0
